F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,label
0.0,3.03,3.03,3.03,6.06,9.09,3.03,33.33,9.09,6.06,0.0,0.0,0.0,6.06,3.03,0.0,3.03,6.06,3.03,3.03,1
3.03,0.0,6.06,0.0,0.0,18.18,0.0,0.0,15.15,6.06,3.03,6.06,3.03,0.0,12.12,12.12,0.0,9.09,3.03,3.03,1
6.06,0.0,3.03,6.06,0.0,6.06,3.03,3.03,27.27,6.06,0.0,3.03,9.09,6.06,3.03,0.0,0.0,18.18,0.0,0.0,1
3.03,9.09,6.06,3.03,0.0,15.15,6.06,3.03,12.12,0.0,0.0,6.06,9.09,0.0,9.09,6.06,0.0,6.06,3.03,3.03,1
15.15,0.0,3.03,3.03,0.0,3.03,0.0,24.24,9.09,18.18,3.03,3.03,3.03,3.03,6.06,0.0,0.0,3.03,0.0,3.03,1
12.12,0.0,6.06,0.0,0.0,9.09,3.03,24.24,3.03,24.24,0.0,0.0,3.03,0.0,6.06,0.0,3.03,0.0,0.0,6.06,1
12.12,0.0,0.0,0.0,3.03,6.06,0.0,6.06,3.03,15.15,0.0,0.0,9.09,0.0,21.21,6.06,6.06,6.06,0.0,6.06,1
6.06,3.03,0.0,0.0,3.03,9.09,3.03,0.0,6.06,3.03,9.09,0.0,9.09,3.03,6.06,9.09,18.18,9.09,3.03,0.0,1
9.09,0.0,0.0,0.0,3.03,6.06,0.0,6.06,9.09,21.21,3.03,0.0,3.03,6.06,15.15,6.06,6.06,3.03,0.0,3.03,1
0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15.15,0.0,3.03,0.0,3.03,9.09,0.0,9.09,9.09,6.06,6.06,3.03,3.03,0.0,21.21,3.03,0.0,6.06,0.0,3.03,1
3.03,0.0,6.06,0.0,0.0,6.06,3.03,6.06,0.0,42.42,3.03,0.0,0.0,0.0,18.18,0.0,0.0,12.12,0.0,0.0,1
6.06,0.0,0.0,3.03,0.0,9.09,0.0,0.0,9.09,3.03,24.24,0.0,9.09,0.0,18.18,3.03,9.09,6.06,0.0,0.0,1
12.12,0.0,3.03,0.0,0.0,6.06,3.03,3.03,0.0,3.03,6.06,3.03,12.12,0.0,15.15,3.03,21.21,6.06,3.03,0.0,1
9.09,0.0,0.0,3.03,0.0,9.09,0.0,0.0,15.15,9.09,0.0,0.0,12.12,0.0,3.03,6.06,9.09,21.21,3.03,0.0,1
